block_m,rows_per_expert,tiles,tokens,rep,ms_p50,ms_min,ms_stdev,iters,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,settle_ms,settle_calls,clock_level_ok,clock_drift_ok,clock_level_side,instrument,warmup_ms,trials,l2_flush,status,detail,prov_bandwidth,prov_bandwidth_source,prov_cuda_version,prov_driver_version,prov_git_dirty,prov_git_dirty_files,prov_git_sha,prov_gpu_name,prov_hostname,prov_instrument,prov_iters,prov_missing,prov_provenance_version,prov_python,prov_ridge,prov_ridge_source,prov_sglang,prov_target_ms,prov_torch,prov_triton,prov_utc,prov_vllm,prov_warmup_ms
256,256,1,1024,3,1.9675679802894592,1.9311360120773315,0.055305243313502464,190,1695.0,1575.0,1665.0,1575 1665 1665 1695 1695 1710 1710 1725 1725 1740 1740 1710 1710 1695 1695 1605 1605 1575 1575 1605 1605 1665 1665,24.123136520385742,11,False,False,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.27821111679077,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,512,2,2048,3,3.9276480674743652,3.6339519023895264,0.10074340073150843,104,1672.5,1800.0,1665.0,1800 1800 1680 1680 1635 1635 1620 1620 1635 1635 1560 1560 1665 1665 1710 1710 1695 1695 1710 1710 1710 1710 1665 1665,23.40403175354004,6,False,False,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.0545606613159,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,1024,4,4096,3,7.73414421081543,7.585824012756348,0.2310386384718372,51,1665.0,1650.0,1695.0,1650 1695 1695 1695 1695 1695 1695 1680 1680 1665 1665 1560 1560 1650 1650 1650 1650 1650 1650 1665 1665 1680 1680 1695,23.884639739990234,3,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,359.72185754776,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,2048,8,8192,3,15.811871528625488,15.199487686157227,0.692260156982465,25,1635.0,1695.0,1635.0,1695 1695 1695 1635 1635 1635 1635 1635 1635 1635 1635 1380 1380 1560 1560 1650 1680 1680 1680 1680 1650 1650 1635,15.552160263061523,1,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,336.6027526855469,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
256,4096,16,16384,3,32.26468849182129,31.876447677612305,2.532052227992087,12,1680.0,1695.0,1665.0,1695 1695 1695 1695 1680 1680 1680 1680 1410 1410 1275 1275 1620 1620 1650 1650 1680 1680 1695 1695 1710 1710 1665,32.08428955078125,1,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,379.82738876342773,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,32,1,128,1,0.9582719802856445,0.9019839763641357,0.06902371833246072,427,1770.0,1890.0,1725.0,1890 1890 1785 1785 1800 1800 1785 1785 1710 1710 1365 1365 1575 1575 1710 1710 1770 1770 1770 1770 1785 1785 1770 1770 1770 1770 1725,24.289920806884766,24,False,False,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.31503945589066,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,64,1,256,1,1.0518399477005005,0.9711359739303589,0.04188220936027,371,1620.0,1575.0,1650.0,1575 1620 1620 1665 1665 1665 1665 1680 1680 1665 1665 1575 1575 1500 1500 1485 1485 1515 1515 1590 1590 1620 1620 1650 1650,24.1760311126709,21,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.79468834400177,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,128,1,512,1,1.1318399906158447,1.079200029373169,0.019823252702929697,346,1410.0,1350.0,1380.0,1350 1350 1365 1365 1380 1380 1410 1410 1410 1410 1410 1410 1455 1455 1440 1440 1410 1410 1410 1410 1395 1395 1380 1380,48.44915199279785,40,True,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,391.3529245853424,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,256,2,1024,1,2.1802079677581787,2.0971200466156006,0.04612198951776955,184,1410.0,1425.0,1425.0,1425 1440 1440 1410 1410 1380 1380 1395 1395 1395 1395 1365 1365 1410 1410 1410 1410 1410 1410 1410 1410 1425 1425 1425 1425,24.805376052856445,11,True,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.1872630119324,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,512,4,2048,1,4.382783889770508,4.22870397567749,0.07730101942391801,90,1395.0,1425.0,1395.0,1425 1425 1395 1395 1410 1410 1410 1410 1410 1410 1320 1320 1425 1425 1395 1395 1395 1395 1380 1380 1395 1395 1395,22.45452880859375,5,True,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,347.13600063323975,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,1024,8,4096,1,8.716832160949707,8.42745590209961,0.294228740830362,46,1402.5,1425.0,1410.0,1425 1425 1425 1395 1395 1380 1380 1380 1380 1395 1395 1170 1170 1395 1395 1410 1410 1425 1425 1410 1410 1410 1410 1410,17.097087860107422,2,True,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,339.61622524261475,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,2048,16,8192,1,17.510767936706543,17.133535385131836,1.0355487038035243,22,1395.0,1410.0,1395.0,1410 1410 1395 1395 1395 1395 1410 1410 1395 1395 945 945 1380 1380 1410 1410 1395 1395 1380 1380 1395 1395 1395,17.835968017578125,1,True,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,341.5077095031738,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,4096,32,16384,1,36.23747253417969,35.64847946166992,3.372988060687238,11,1425.0,1425.0,1455.0,1425 1425 1440 1440 1440 1440 1440 1440 960 960 1140 1140 1395 1395 1425 1425 1410 1410 1425 1425 1440 1440 1455 1455,36.14275360107422,1,True,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,391.55287170410156,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,32,1,128,2,0.9865279793739319,0.9265599846839905,0.026465998471317146,394,1725.0,1680.0,1740.0,1680 1755 1755 1755 1755 1770 1770 1800 1800 1785 1785 1710 1710 1665 1665 1650 1650 1635 1635 1710 1710 1725 1725 1740 1740,24.257247924804688,22,False,True,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.7678681612015,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,64,1,256,2,1.0758559703826904,0.9878399968147278,0.029424940601836536,364,1567.5,1725.0,1530.0,1725 1725 1515 1515 1530 1530 1575 1575 1575 1575 1545 1545 1650 1650 1650 1650 1635 1635 1560 1560 1560 1560 1530 1530,50.32361602783203,44,False,False,high,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,391.39651238918304,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
128,128,1,512,2,1.1220319867134094,0.9990720152854919,0.0218082166257356,356,1410.0,1410.0,1425.0,1410 1425 1425 1410 1410 1410 1410 1410 1410 1425 1425 1410 1410 1410 1410 1410 1410 1410 1410 1440 1440 1425 1425 1425 1425,23.88265609741211,20,True,True,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.64502346515656,3,True,ok,,4374.050104876781,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",13.0,580.159.04,True,1,43cfb31a7e076e7a23c4a9331fba49351f396488,NVIDIA H200,eec145fd46b6,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,,iters=not supplied by caller; sglang=package not installed,1,3.12.3,152.0897603868627,"measured on this device: NVIDIA H200 (measured), 665.2 TFLOP/s bf16 over 4374.1 GB/s; calibrated 2026-09-10 at 43cfb31a",,400.0,2.13.0,3.7.1,2026-09-10T06:53:29+00:00,0.27.1,300.0
