setting,num_stages,num_warps,group_m,block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,power_w,clock_level_ok,clock_drift_ok,l2_flush,clock_level_side
s3w4g1,3,4,1,64,4,256,1024,1,2.934224009513855,2.8096959590911865,0.05897054104503663,132,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,352.54780650138855,3,1380.0,1275.0,1365.0,1275 1395 1395 1380 1380 1410 1410 1410 1410 1425 1425 1350 1350 1410 1410 1350 1350 1320 1320 1305 1305 1365 1365,696.292,False,False,True,low
s4w8g1,4,8,1,64,4,256,1024,1,3.0749759674072266,2.946079969406128,0.07390924415538667,131,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,368.5065920352936,3,1365.0,1380.0,1350.0,1380 1365 1365 1305 1305 1260 1260 1260 1260 1320 1320 1215 1215 1395 1395 1395 1395 1395 1395 1380 1380 1365 1365 1350,694.747,False,True,True,low
s3w8g1,3,8,1,256,1,256,1024,1,2.042304039001465,1.9662400484085083,0.10999785995610008,197,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,350.9640305042267,3,1695.0,1695.0,1710.0,1695 1725 1725 1695 1695 1740 1740 1710 1710 1560 1560 1365 1365 1575 1575 1650 1650 1680 1680 1680 1680 1710 1710 1710 1710,661.658,False,True,True,high
s2w8g1,2,8,1,256,1,256,1024,1,2.215008020401001,2.152672052383423,0.12157136786086117,180,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,355.43129301071167,3,1785.0,1830.0,1785.0,1830 1830 1785 1785 1785 1785 1770 1770 1800 1800 1365 1365 1530 1530 1695 1695 1755 1755 1800 1800 1785 1785 1770 1770 1785,695.055,False,True,True,high
s3w8g8,3,8,8,256,1,256,1024,1,2.08188796043396,2.0307838916778564,0.12749661937835638,193,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.25932812690735,3,1665.0,1680.0,1665.0,1680 1695 1695 1665 1665 1665 1665 1680 1680 1410 1410 1350 1350 1575 1575 1635 1635 1665 1665 1665 1665 1665 1665 1665 1665,679.626,False,True,True,high
s3w8g64,3,8,64,64,4,256,1024,1,2.5824159383773804,2.4786880016326904,0.050836273969111896,152,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.800030708313,3,1440.0,1425.0,1440.0,1425 1425 1440 1440 1455 1455 1455 1455 1485 1485 1440 1440 1410 1410 1455 1455 1410 1410 1410 1410 1425 1425 1440 1440,694.0895,True,True,True,
s3w8g1,3,8,1,64,4,256,1024,1,3.0608320236206055,2.92739200592041,0.10472055275236312,132,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.887357711792,3,1365.0,1380.0,1365.0,1380 1365 1365 1290 1290 1305 1305 1320 1320 1380 1380 1200 1200 1395 1395 1410 1410 1410 1410 1395 1395 1365 1365 1365,694.344,False,True,True,low
s3w4g1,3,4,1,256,1,256,1024,1,2.119040012359619,2.0504000186920166,0.12634448695678663,189,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.6637477874756,3,1800.0,1800.0,1800.0,1800 1815 1815 1800 1800 1800 1800 1800 1800 1725 1725 1440 1440 1710 1710 1785 1785 1800 1800 1785 1785 1785 1785 1800 1800,670.51,False,True,True,high
s2w4g1,2,4,1,256,1,256,1024,1,2.312544107437134,2.2502400875091553,0.11924748472395429,173,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,353.62784004211426,3,1860.0,1875.0,1860.0,1875 1935 1935 1860 1860 1890 1890 1875 1875 1875 1875 1410 1410 1695 1695 1830 1830 1860 1860 1860 1860 1860 1860 1860 1860,652.216,False,True,True,high
s3w8g8,3,8,8,64,4,256,1024,1,2.4849600791931152,2.3584959506988525,0.06381332802094179,156,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.3091530799866,3,1455.0,1410.0,1440.0,1410 1530 1530 1455 1455 1500 1500 1500 1500 1455 1455 1425 1425 1470 1470 1410 1410 1410 1410 1440 1440 1440 1440,694.316,True,True,True,
s4w8g1,4,8,1,256,1,256,1024,1,1.9475039839744568,1.8957439661026,0.1288437202151039,206,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.1733750104904,3,1710.0,1740.0,1710.0,1740 1740 1725 1725 1710 1710 1725 1725 1725 1725 1365 1365 1455 1455 1620 1620 1695 1695 1710 1710 1710 1710 1725 1725 1710,692.087,False,True,True,high
s3w8g16,3,8,16,64,4,256,1024,1,2.5035200119018555,2.3709120750427246,0.053581219018783564,155,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.0141394138336,3,1440.0,1410.0,1440.0,1410 1410 1455 1455 1485 1485 1455 1455 1485 1485 1365 1365 1455 1455 1440 1440 1425 1425 1410 1410 1440 1440 1440,686.972,True,True,True,
s2w8g1,2,8,1,64,4,256,1024,1,3.3297441005706787,3.175391912460327,0.08786932143575898,118,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,370.0824604034424,3,1432.5,1425.0,1470.0,1425 1425 1485 1485 1395 1395 1440 1440 1425 1425 1425 1425 1440 1440 1515 1515 1425 1425 1425 1425 1530 1530 1470 1470,687.662,True,True,True,
s3w4g1,3,4,1,64,5,320,1280,1,3.633824110031128,3.535072088241577,0.37078740768596147,111,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,365.041020154953,3,1395.0,1410.0,1395.0,1410 1425 1425 1395 1395 1395 1395 1395 1395 1395 1395 765 765 1350 1350 1395 1410 1410 1410 1410 1410 1410 1395 1395 1395,686.596,True,True,True,
s3w8g8,3,8,8,64,5,320,1280,1,3.184191942214966,3.112287998199463,0.07185726145806043,123,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,358.6622440814972,3,1440.0,1425.0,1455.0,1425 1455 1455 1470 1470 1470 1470 1455 1455 1440 1440 1380 1380 1455 1455 1425 1425 1425 1425 1440 1440 1440 1440 1455,690.449,True,True,True,
