setting,num_stages,num_warps,group_m,block_m,tiles,rows_per_expert,tokens,rep,ms_p50,ms_min,ms_stdev,iters,status,detail,instrument,warmup_ms,trials,sm_clock_load_mhz,sm_clock_start_mhz,sm_clock_end_mhz,clock_samples_mhz,power_w,clock_level_ok,clock_drift_ok,l2_flush,clock_level_side
s3w8g64,3,8,64,64,4,256,1024,1,2.574592113494873,2.5047359466552734,0.0523616967741003,153,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.408447265625,3,1462.5,1410.0,1440.0,1410 1470 1470 1470 1470 1470 1470 1470 1470 1470 1470 1365 1365 1470 1470 1455 1455 1425 1425 1425 1425 1440 1440 1440,694.942,True,True,True,
s3w8g1,3,8,1,64,4,256,1024,1,3.0326240062713623,2.888063907623291,0.1087095541625434,132,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,363.95043420791626,3,1365.0,1440.0,1380.0,1440 1440 1365 1365 1335 1335 1320 1320 1320 1320 1005 1005 1320 1320 1410 1410 1410 1410 1365 1365 1365 1365 1380 1380,694.8235,False,True,True,low
s3w4g1,3,4,1,256,1,256,1024,1,2.1083680391311646,2.0773439407348633,0.11569042813343733,190,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.7729580402374,3,1800.0,1830.0,1815.0,1830 1830 1815 1815 1815 1815 1815 1815 1800 1800 1590 1590 1500 1500 1740 1740 1770 1770 1785 1785 1785 1785 1815 1815 1815,691.356,False,True,True,high
s2w4g1,2,4,1,256,1,256,1024,1,2.302623987197876,2.266400098800659,0.10760569362322318,173,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,346.9349133968353,3,1882.5,1875.0,1890.0,1875 1875 1890 1890 1890 1890 1890 1890 1875 1875 1605 1605 1545 1545 1785 1785 1875 1875 1890 1890 1905 1905 1890 1890,664.7045,False,True,True,high
s3w8g8,3,8,8,64,4,256,1024,1,2.448319911956787,2.380064010620117,0.06402710670923266,157,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,357.18946981430054,3,1470.0,1470.0,1440.0,1470 1470 1485 1485 1485 1485 1470 1470 1500 1500 1275 1275 1500 1500 1470 1470 1470 1470 1425 1425 1440 1440 1440,695.0,True,True,True,
s4w8g1,4,8,1,256,1,256,1024,1,1.9490240216255188,1.794368028640747,0.12840329968487754,210,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,383.82886278629303,3,1710.0,1740.0,1725.0,1740 1740 1710 1710 1740 1740 1710 1710 1710 1710 1290 1290 1575 1575 1680 1680 1695 1695 1695 1695 1710 1710 1740 1740 1725,689.354,False,True,True,high
s3w8g16,3,8,16,64,4,256,1024,1,2.47814404964447,2.411263942718506,0.09073311989723336,162,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.49993658065796,3,1455.0,1455.0,1485.0,1455 1455 1455 1455 1470 1470 1470 1470 1485 1485 1200 1200 1410 1410 1455 1455 1455 1455 1440 1440 1455 1455 1485 1485,692.8610000000001,True,True,True,
s2w8g1,2,8,1,64,4,256,1024,1,3.273983955383301,3.1885759830474854,0.1359791256978955,122,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,350.6497573852539,3,1485.0,1575.0,1485.0,1575 1575 1485 1485 1485 1485 1500 1500 1485 1485 1065 1065 1440 1440 1515 1515 1500 1500 1530 1530 1485 1485 1485 1485,694.3235,True,False,True,
s3w4g1,3,4,1,64,5,320,1280,1,3.646944046020508,3.553407907485962,0.19647880055443456,107,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,352.21600103378296,3,1395.0,1350.0,1395.0,1350 1395 1395 1410 1410 1410 1410 1395 1395 1170 1170 1230 1230 1410 1410 1395 1395 1365 1365 1380 1380 1395 1395 1395,689.418,True,True,True,
s3w8g8,3,8,8,64,5,320,1280,1,3.1746881008148193,3.0540480613708496,0.08671494813790112,125,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,352.8530514240265,3,1455.0,1455.0,1455.0,1455 1470 1470 1455 1455 1425 1425 1455 1455 1485 1485 1290 1290 1470 1470 1455 1455 1455 1455 1455 1455 1455 1455 1455,692.509,True,True,True,
s5w8g1,5,8,1,64,5,320,1280,1,3.7646878957748413,3.694175958633423,0.2333938166058054,106,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,349.72387194633484,3,1395.0,1410.0,1395.0,1410 1410 1395 1395 1395 1395 1380 1380 1395 1395 885 885 1290 1290 1395 1395 1395 1395 1395 1395 1395 1395 1395 1395,693.1875,True,True,True,
s3w8g1,3,8,1,64,5,320,1280,1,3.795952081680298,3.7204480171203613,0.10330020175805822,104,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.13635063171387,3,1365.0,1320.0,1365.0,1320 1380 1380 1365 1365 1365 1365 1380 1380 1350 1350 1200 1200 1395 1395 1335 1335 1335 1335 1335 1335 1380 1380 1365,688.56,False,True,True,low
s2w4g1,2,4,1,64,5,320,1280,1,3.477407932281494,3.3321280479431152,0.163554880129086,117,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,353.32102727890015,3,1440.0,1470.0,1440.0,1470 1470 1470 1440 1440 1440 1440 1425 1425 1440 1440 1095 1095 1425 1425 1470 1470 1440 1440 1470 1470 1440 1440 1440 1440,695.978,True,True,True,
s4w8g1,4,8,1,64,5,320,1280,1,3.785759925842285,3.62060809135437,0.2066671879187579,105,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,351.94812536239624,3,1350.0,1350.0,1380.0,1350 1395 1395 1380 1380 1365 1365 1380 1380 1245 1245 1140 1140 1350 1350 1365 1365 1305 1305 1335 1335 1350 1350 1380,695.135,False,True,True,low
s3w8g16,3,8,16,64,5,320,1280,1,3.143440008163452,3.034816026687622,0.10921593932904528,124,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,351.5332465171814,3,1470.0,1515.0,1485.0,1515 1515 1470 1470 1470 1470 1470 1470 1455 1455 1200 1200 1425 1425 1500 1500 1470 1470 1455 1455 1485 1485 1485 1485,692.817,True,True,True,
s3w8g64,3,8,64,64,5,320,1280,1,3.2204160690307617,3.1100480556488037,0.1146583279688491,123,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,356.6188168525696,3,1455.0,1455.0,1455.0,1455 1455 1470 1470 1455 1455 1455 1455 1470 1470 1320 1320 1380 1380 1485 1485 1455 1455 1455 1455 1470 1470 1455 1455,692.665,True,True,True,
s2w8g1,2,8,1,64,5,320,1280,1,3.9784799814224243,3.8871679306030273,0.16638648263094788,100,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,361.7218894958496,3,1455.0,1485.0,1455.0,1485 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1170 1170 1455 1455 1500 1500 1485 1485 1470 1470 1500 1500 1455,693.715,True,True,True,
s3w4g1,3,4,1,64,6,384,1536,1,4.388000011444092,4.2442240715026855,0.38921294643262944,90,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,362.0994257926941,3,1395.0,1395.0,1410.0,1395 1395 1395 1410 1410 1395 1395 1395 1395 945 945 1185 1185 1395 1395 1395 1395 1395 1395 1395 1395 1395 1395 1410,695.674,True,True,True,
s3w8g1,3,8,1,64,6,384,1536,1,4.576128005981445,4.495039939880371,0.1785569616243361,86,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,346.6273264884949,3,1365.0,1305.0,1380.0,1305 1395 1395 1380 1380 1365 1365 1380 1380 1365 1365 1065 1065 1350 1350 1380 1380 1305 1305 1305 1305 1350 1350 1380,693.8544999999999,False,False,True,low
s2w4g1,2,4,1,64,6,384,1536,1,4.1051201820373535,3.8141119480133057,0.1892421600019442,97,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,354.39177775382996,3,1425.0,1425.0,1425.0,1425 1455 1455 1425 1425 1410 1410 1425 1425 1455 1455 1110 1110 1425 1425 1440 1440 1440 1440 1425 1440 1440 1425 1425,693.863,True,True,True,
s5w8g1,5,8,1,64,6,384,1536,1,4.512096166610718,4.2096638679504395,0.32617247603362515,88,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,366.81244707107544,3,1387.5,1395.0,1395.0,1395 1395 1395 1380 1380 1380 1380 1380 1380 945 945 1230 1230 1365 1365 1395 1395 1395 1395 1410 1410 1395 1395 1395,694.6234999999999,False,True,True,low
s3w8g64,3,8,64,64,6,384,1536,1,3.8341760635375977,3.67193603515625,0.1878959357181914,105,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,346.33721899986267,3,1470.0,1515.0,1455.0,1515 1515 1455 1455 1485 1485 1485 1485 1485 1485 1065 1065 1395 1395 1485 1485 1455 1455 1470 1470 1470 1470 1455 1455,688.6375,True,True,True,
s3w8g8,3,8,8,64,6,384,1536,1,3.7267040014266968,3.602560043334961,0.18516931933348438,106,ok,,queue-deep/l2-flush/settled-warmup/clock-under-load/v4,364.77145552635193,3,1485.0,1485.0,1485.0,1485 1515 1515 1485 1485 1485 1485 1485 1485 1470 1470 1230 1230 1455 1455 1485 1485 1545 1545 1485 1485 1485 1485 1485,692.929,True,True,True,
